kind,name,weight,data_date
industry,股票,96.0,2026/07/31
industry,現金及約當現金,4.0,2026/07/31
holding,爵士製藥 (美國 生技製藥和生命科學) JAZZ PHARMACEUTICALS PLC,5.62,2026/07/31
holding,美國基因 (美國 生技製藥和生命科學) AMGEN INC,4.34,2026/07/31
holding,吉利德科學公司 (美國 生技製藥和生命科學) GILEAD SCIENCES INC,3.81,2026/07/31
holding,再生元製藥 (美國 生技製藥和生命科學) REGENERON PHARMACEUTICALS INC,3.7,2026/07/31
holding,福泰製藥公司 (美國 生技製藥和生命科學) VERTEX PHARMACEUTICALS INC,3.5,2026/07/31
holding,(荷蘭 生技製藥和生命科學) ARGENX SE,3.32,2026/07/31
holding,革命醫藥公司 (美國 醫療保健) REVOLUTION MEDICINES INC,2.96,2026/07/31
holding,衛士健康 (美國 醫療保健) GUARDANT HEALTH INC,2.73,2026/07/31
holding,Ascendis製藥公司 (丹麥 生技製藥和生命科學) ASCENDIS PHARMA A/S,2.52,2026/07/31
holding,方舟生物醫藥 (美國 醫療保健) ORUKA THERAPEUTICS INC,2.44,2026/07/31
